"jc2656" "jc2657" "jc2658" "jc2659"
309 405 913 599
53 59 57 14
232 305 675 501
113 122 214 171
835 1461 3232 2676
1375 2144 4283 3157
57 69 89 85
1026 1636 3873 3437
1103 1357 3559 2481
209 318 560 500
65 50 64 45
362 483 1050 875
44 38 64 53
563 932 1702 1282
51 64 55 36
73 98 235 176
429 684 1528 1206
55 56 171 130
416 675 1667 1217
661 1042 2386 2108
31 38 38 40
737 1255 2861 2513
692 1252 2202 1767
418 702 1648 1553
154 239 236 203
752 1356 2835 2470
81 107 54 58
1762 2818 6074 4365
16 40 51 53
142 208 283 296
38 39 27 23
73 135 81 63
467 812 1609 1120
57 103 40 52
477 766 1669 1327
16 18 7 20
849 1373 3124 2473
322 572 633 456
841 1237 2592 2114
213 314 541 448
85 98 65 31
126 179 330 351
60 89 64 33
214 361 683 503
37 34 27 29
118 119 310 372
405 639 1537 1298
777 1390 2362 2015
254 270 602 499
74 66 183 155
39 51 90 96
544 821 1790 1495
25 14 63 33
283 385 723 658
21 45 52 59
19 32 20 28
612 1110 2014 1641
62 71 143 121
1055 1824 3871 2972
530 722 1949 1597
436 622 1428 954
231 306 694 606
452 620 1228 1006
176 264 778 709
149 86 109 122
122 92 101 53
182 245 712 611
227 352 830 644
206 315 675 576
23 43 100 76
572 985 2072 1555
469 703 1587 1453
174 225 412 360
558 1050 2272 1811
542 914 1890 1502
541 793 1868 1566
36 40 126 111
678 1106 2144 1701
111 198 322 302
620 945 2141 1505
211 263 633 467
390 471 1100 789
127 160 258 166
363 607 1001 836
45 51 84 61
396 651 1149 894
273 326 585 466
164 209 525 357
17 15 11 9
620 795 1494 1239
631 1063 2366 1955
71 88 63 27
2865 4448 8346 6345
484 1010 2342 1822
758 1205 2618 2090
228 385 728 690
356 590 1029 738
627 966 2235 1530
304 321 605 480
139 163 429 249
310 402 892 573
722 1230 2763 2018
38 30 108 95
370 575 1232 872
27 22 53 11
249 324 848 516
558 712 1846 1555
1040 1518 3024 2418
474 654 1675 1230
536 883 2012 1578
258 364 787 541
577 1011 2034 1764
110 108 299 115
328 570 1263 1115
326 613 1213 908
43 56 124 125
148 180 290 263
695 1192 2716 2102
426 527 1322 903
522 602 1435 670
25 41 92 83
692 1019 2170 1283
586 1153 2535 1972
606 822 1817 1285
314 476 1250 682
702 947 2020 1359
37 20 33 21
331 409 837 676
859 1425 3038 2198
44 35 119 74
30 33 45 45
529 689 1699 1214
81 101 58 37
