"jc2660" "jc2661" "jc2662" "jc2663"
1391 1151 922 1138
936 735 604 733
20 8 20 17
284 189 197 212
4625 3564 2956 3594
873 474 502 742
3877 3377 3059 3480
948 785 645 849
225 155 129 171
5040 3795 3436 4456
1220 891 924 1147
2872 2270 1975 2375
878 634 581 777
139 52 72 81
1976 1242 1223 1749
196 69 75 84
1776 1355 1174 1517
93 27 27 29
284 187 165 214
207 114 112 128
2220 1616 1375 1681
35 19 19 23
27 19 21 29
319 205 189 271
2674 2074 1780 2007
3757 2750 2292 2872
4312 3253 2616 3352
2158 1815 1586 2032
2741 1790 1633 1908
3623 3430 2813 3693
4819 3651 3211 3911
3910 3017 2540 3091
78 59 53 81
407 292 286 322
128 55 48 68
1984 1504 1434 1437
2037 1589 1410 1763
4330 3739 2978 3495
482 295 280 317
3863 2706 2298 2633
704 543 484 580
619 466 367 480
982 809 669 709
38 20 11 17
737 516 445 508
2523 1848 1499 1897
2752 2218 1978 2048
882 645 623 845
368 268 250 327
131 85 114 127
42 19 35 15
2064 1788 1507 1806
140 81 79 107
516 345 302 434
549 366 382 435
113 53 61 91
54 20 19 30
2542 1660 1512 1792
130 102 92 105
3889 3557 3200 3561
2409 2091 1716 2424
26 18 24 22
2048 1556 1317 1618
1523 1106 830 1151
1708 1262 1133 1286
121 70 94 105
1224 1137 933 1112
64 37 40 17
896 756 718 762
1397 896 926 1107
963 703 693 808
201 131 164 177
2093 1740 1613 2018
2346 2026 1686 2155
43 22 14 16
800 563 505 628
2658 2500 2170 2437
2584 1982 1848 2027
2742 2307 1972 2540
228 151 153 162
2443 1897 1763 2166
435 306 290 273
3177 2804 2239 2365
1184 654 713 937
1670 1225 1002 1043
277 194 214 307
1116 907 975 1000
77 24 33 24
192 90 100 159
1441 1135 924 1134
228 169 172 171
723 531 404 526
718 615 454 677
1597 1218 1125 1387
480 360 316 378
2728 2452 2343 2633
1456 1170 1104 1217
3963 3164 2834 3422
3923 3094 2770 3003
1545 960 914 1041
2997 3070 2691 3072
3021 2572 2339 2614
32 11 12 16
961 843 796 965
998 816 762 803
2776 2571 2225 2586
975 751 665 749
48 27 24 39
868 619 669 626
1677 1290 1056 961
3424 3340 2431 2737
30 13 14 9
166 123 147 194
48 16 40 17
1470 1194 1140 1266
218 156 121 117
57 39 40 19
1186 1031 871 744
2669 2185 1896 2204
134 72 67 53
5229 3631 3159 3387
46 15 21 16
2066 1473 1568 2030
2912 2330 1941 2492
19 20 4 18
1122 830 859 907
2260 1920 1599 1793
583 427 406 357
61 30 29 31
1679 1493 1165 1475
1440 1089 988 1135
321 249 256 298
566 403 388 482
3403 2814 2615 2810
38 15 7 23
1563 1239 1101 1301
2445 1747 1673 1477
176 131 120 150
